股票代码,年度,股票简称,证券交易所,中小企业板标示
301,2005,丝绸股份,SZ,0
301,2006,丝绸股份,SZ,0
301,2009,东方市场,SZ,0
301,2010,东方市场,SZ,0
338,2007,潍柴动力,SZ,0
338,2008,潍柴动力,SZ,0
338,2009,潍柴动力,SZ,0
338,2010,潍柴动力,SZ,0
400,2002,许继电气,SZ,0
400,2003,许继电气,SZ,0
400,2004,许继电气,SZ,0
400,2005,G许继,SZ,0
400,2006,许继电气,SZ,0
400,2007,许继电气,SZ,0
400,2008,许继电气,SZ,0
400,2009,许继电气,SZ,0
400,2011,许继电气,SZ,0
401,2002,冀东水泥,SZ,0
401,2003,冀东水泥,SZ,0
401,2004,冀东水泥,SZ,0
401,2005,冀东水泥,SZ,0
401,2006,冀东水泥,SZ,0
401,2007,冀东水泥,SZ,0
401,2008,冀东水泥,SZ,0
401,2009,冀东水泥,SZ,0
401,2010,冀东水泥,SZ,0
402,2002,金融街,SZ,0
402,2003,金融街,SZ,0
402,2004,金融街,SZ,0
402,2005,金融街,SZ,0
402,2006,金融街,SZ,0
402,2007,金融街,SZ,0
402,2009,金融街,SZ,0
402,2011,金融街,SZ,0
403,2002,三九生化,SZ,0
403,2003,三九生化,SZ,0
403,2004,三九生化,SZ,0
403,2005,三九生化,SZ,0
403,2006,S*ST生化,SZ,0
403,2007,S*ST生化,SZ,0
403,2008,S*ST生化,SZ,0
403,2009,S*ST生化,SZ,0
404,2002,华意压缩,SZ,0
404,2003,华意压缩,SZ,0
404,2004,华意压缩,SZ,0
404,2005,华意压缩,SZ,0
404,2006,华意压缩,SZ,0
404,2007,华意压缩,SZ,0
404,2009,华意压缩,SZ,0
404,2011,华意压缩,SZ,0
405,2002,ST鑫光,SZ,0
406,2002,石油大明,SZ,0
406,2003,石油大明,SZ,0
406,2004,石油大明,SZ,0
406,2005,石油大明,SZ,0
407,2002,胜利股份,SZ,0
407,2003,胜利股份,SZ,0
407,2004,胜利股份,SZ,0
407,2005,胜利股份,SZ,0
407,2006,胜利股份,SZ,0
407,2007,胜利股份,SZ,0
407,2008,胜利股份,SZ,0
407,2009,胜利股份,SZ,0
407,2011,胜利股份,SZ,0
408,2002,河北华玉,SZ,0
408,2003,河北华玉,SZ,0
408,2004,河北华玉,SZ,0
408,2005,玉源控股,SZ,0
408,2008,ST玉源,SZ,0
408,2009,*ST玉源,SZ,0
408,2010,*ST金谷,SZ,0
409,2002,ST四通,SZ,0
409,2003,*ST四通,SZ,0
409,2004,*ST四通,SZ,0
409,2005,*ST四通,SZ,0
409,2006,ST泰格,SZ,0
409,2007,ST泰格,SZ,0
409,2008,*ST泰格,SZ,0
409,2009,ST泰复,SZ,0
409,2010,*ST泰复,SZ,0
410,2002,沈阳机床,SZ,0
410,2003,沈阳机床,SZ,0
410,2004,沈阳机床,SZ,0
410,2005,沈阳机床,SZ,0
410,2006,沈阳机床,SZ,0
410,2007,沈阳机床,SZ,0
410,2008,沈阳机床,SZ,0
410,2009,沈阳机床,SZ,0
410,2011,沈阳机床,SZ,0
411,2002,ST英特,SZ,0
411,2003,ST英特,SZ,0
411,2004,ST英特,SZ,0
411,2005,英特集团,SZ,0
411,2006,英特集团,SZ,0
411,2007,英特集团,SZ,0
411,2008,英特集团,SZ,0
411,2009,英特集团,SZ,0
411,2010,英特集团,SZ,0
412,2002,ST五环,SZ,0
413,2002,宝石A,SZ,0
413,2003,宝石A,SZ,0
413,2004,宝石A,SZ,0
413,2006,*ST宝石A,SZ,0
413,2007,*ST宝石A,SZ,0
413,2008,宝石A,SZ,0
413,2009,宝石A,SZ,0
413,2010,宝石A,SZ,0
415,2002,汇通水利,SZ,0
415,2003,汇通水利,SZ,0
415,2004,汇通水利,SZ,0
415,2005,汇通水利,SZ,0
415,2006,汇通水利,SZ,0
415,2007,汇通集团,SZ,0
415,2008,汇通集团,SZ,0
415,2009,*ST汇通,SZ,0
415,2011,*ST汇通,SZ,0
416,2002,健特生物,SZ,0
416,2003,健特生物,SZ,0
416,2004,健特生物,SZ,0
416,2006,健特生物,SZ,0
416,2007,华馨实业,SZ,0
416,2008,民生投资,SZ,0
416,2010,民生投资,SZ,0
417,2002,合肥百货,SZ,0
417,2003,合肥百货,SZ,0
417,2004,合肥百货,SZ,0
417,2005,G合百大,SZ,0
417,2006,合肥百货,SZ,0
417,2007,合肥百货,SZ,0
417,2010,合肥百货,SZ,0
418,2002,ST天鹅A,SZ,0
418,2003,ST天鹅A,SZ,0
418,2004,小天鹅A,SZ,0
418,2005,小天鹅A,SZ,0
418,2006,小天鹅A,SZ,0
418,2007,小天鹅A,SZ,0
418,2009,小天鹅A,SZ,0
418,2011,小天鹅A,SZ,0
419,2002,通程控股,SZ,0
419,2003,通程控股,SZ,0
419,2004,通程控股,SZ,0
