股票代码,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地
600118,中国天地卫星股份有限公司,"China Spacesat Co., Ltd.",G81,201010,北京海淀区阜成路16号航天科技大厦15层
600119,长发集团长江投资实业股份有限公司,"Y.U.D. Yangtze River Investment Industry  Co.,Ltd.",M,203010,上海市浦东世纪大道1500 号9 楼
600120,浙江东方集团股份有限公司,"ZHEJIANG ORIENT HOLDINGS CO.,LTD.",H21,255010,浙江省杭州市西湖大道12号
600121,郑州煤电股份有限公司,"ZHENGZHOU COAL INDUSTRY & ELECTRIC POWER CO.,LTD.",D01,101020,河南省郑州市二七区大学路30号
600122,江苏宏图高科技股份有限公司,"JIANGSU HONGTU HIGH-TECHNOLOGY CO.,LTD",G81,255040,南京高新技术产业开发区03栋2楼
600123,山西兰花科技创业股份有限公司,SHANXI LANHUA SCI-TECH VENTURE CO.，LTD.,B01,101020,山西省晋城市泽州路181号
600125,大连铁龙实业股份有限公司,"CHINA RAILWAY TIELONG CONTAINER LOGISTICS CO.,LTD",F01,203040,大连市高新园区七贤岭产业化基地高新街3号
600126,杭州钢铁股份有限公司,"HANG ZHOU IRON & STEEL CO.,LTD.",C65,151040,浙江省杭州市拱墅区半山路178号
600127,湖南金键米业股份有限公司,"HUNAN JINJIAN CEREALS INDUSTRY CO.,LTD.",C01,302020,湖南省常德市德山经济科技开发区崇德路
600128,江苏弘业股份有限公司,JIANGSU HOLLY CORPORATION,H21,255010,江苏省南京市中华路50号弘业大厦
600129,重庆太极实业(集团)股份有限公司,"CHONGQING TAIJI INDUSTRY (GROUP) CO.,LTD.",C81,352020,重庆市涪陵区太极大道1号
600130,宁波波导股份有限公司,"NINGBO BIRD CO.,LTD",G81,452010,浙江省宁波奉化市城山路99号
600131,四川岷江水利电力股份有限公司,"SICHUAN MINJIANG HYDROPOWER CO.,ITD.",D01,551010,四川省阿坝州汶川县下索桥
600132,重庆啤酒股份有限公司,"CHONG QING BREWERY CO.,LTD",C05,302010,重庆市九龙坡区石桥铺石杨路16号
600133,武汉东湖高新集团股份有限公司,"WUHAN EAST LAKE HIGH TECHNOLOGY GROUPE CO.,LTD.",M,551010,武汉市洪山区关东科技工业园东湖高新大楼
600135,乐凯胶片股份有限公司,"LUCKY FILM CO.,LTD.",C43,151010,河北省保定国家高新技术产业开发区
600136,武汉道博股份有限公司,"WUHAN DOUBLE CO.,LTD.",M,404030,湖北省武汉市汉南区纱帽镇汉南大道367号
600137,四川长江包装控股股份有限公司,"SICHUAN CHANGJIANG PACKAGING PAPER CO.,LTD.",C31,252030,四川省宜宾市马鞍石
600138,中青旅控股股份有限公司,"CHINA CYTS TOURS HOLDING CO.,LTD.",K34,253010,北京市海淀区知春路128号泛亚大厦八层
600139,鼎天科技股份有限公司,Mianyang Gao Xin Industrial Development Group Inc.,G83,201040,四川绵阳高新区火炬大厦 B区
600141,湖北兴发化工集团股份有限公司,"HUBEI XINGFA CHEMICAL GROUP CO.,LTD.",C43,151010,湖北省兴山县古夫镇绍君路昭君山庄
600143,广州金发科技股份有限公司,"GUANGZHOU KINGFA SCI.& TEC. CO.,LTD.",C49,151010,NA
600145,重庆四维瓷业股份有限公司,"CHONGQINGSWELLCERAMICS（GROUP）INDUSTORYCO.,LTD",E05,201020,重庆市江津市油溪镇
600146,宁夏大元化工股份有限公司,"NINGXIA DAYUAN CHEMICAL COMPANY,LTD.",C41,352010,宁夏银川市新市区文昌南路
600148,长春一东离合器股份有限公司,"CHANGCHUN YIDONG CLUTCH CO.,LTD.",C75,251010,吉林省长春市繁荣路17-1号
