股票代码,年度,金额最高的前三名董事的报酬总额,金额最高的前三名高级管理人员的报酬总额,独立董事津贴,审计委员会,薪酬与考核委员会,战略委员会,提名委员会,董事会的规模,监事会的规模,年度股东大会的参会股东人数,独立董事总人数
600002,1998,67514,-95,-95,0,0,0,0,15,7,87,0
600007,1998,436000,1180000,80000,1,1,0,0,8,3,3,2
600009,1998,280132,-95,-95,0,0,0,0,7,3,-95,0
600051,1998,-95,-95,-95,0,0,0,0,11,5,48,0
600052,1998,-95,-95,-95,0,0,0,0,7,3,36,0
600053,1998,-95,-95,-95,0,0,0,0,9,7,51,0
600054,1998,-95,-95,-95,0,0,0,0,8,3,13,0
600055,1998,-95,-95,-95,0,0,0,0,15,3,52,0
600056,1998,-95,-95,-95,0,0,0,0,10,6,38,0
600057,1998,-95,-95,-95,0,0,0,0,13,5,63,0
600058,1998,-95,-95,-95,0,0,0,0,17,5,29,0
600059,1998,-95,-95,-95,0,0,0,0,10,3,13,0
600060,1998,-95,-95,-95,0,0,0,0,9,3,51,0
600061,1998,-95,-95,-95,0,0,0,0,11,7,31,0
600062,1998,-95,-95,-95,0,0,0,0,13,5,35,0
600063,1998,-95,-95,-95,0,0,0,0,6,3,48,0
600064,1998,-95,-95,-95,0,0,0,0,11,4,-95,0
600066,1998,-95,-95,-95,0,0,0,0,11,5,62,0
600067,1998,-95,-95,-95,0,0,0,0,9,2,94,0
600068,1998,-95,-95,-95,0,0,0,0,15,5,25,0
600069,1998,-95,-95,-95,0,0,0,0,13,3,30,0
600070,1998,-95,-95,-95,0,0,0,0,6,5,63,0
600071,1998,-95,-95,-95,0,0,0,0,7,3,107,0
600072,1998,-95,-95,-95,0,0,0,0,9,5,160,0
600073,1998,-95,-95,-95,0,0,0,0,7,3,344,0
600074,1998,-95,-95,-95,0,0,0,0,7,3,19,0
600075,1998,-95,-95,-95,0,0,0,0,7,3,42,0
600076,1998,-95,-95,-95,0,0,0,0,13,7,64,0
600077,1998,-95,-95,-95,0,0,0,0,13,5,20,0
600078,1998,-95,-95,-95,0,0,0,0,9,5,107,0
600079,1998,72000,72000,-95,0,0,0,0,7,3,14,0
600080,1998,-95,-95,-95,0,0,0,0,8,6,57,0
600081,1998,-95,-95,-95,0,0,0,0,9,3,121,0
600082,1998,-95,-95,-95,0,0,0,0,9,5,114,0
600083,1998,-95,-95,-95,0,0,0,0,0,0,192,0
600084,1998,43320,46800,-95,0,0,0,0,9,5,91,0
600085,1998,-95,-95,-95,0,0,0,0,9,3,45,0
600086,1998,-95,-95,-95,0,0,0,0,9,5,46,0
600087,1998,-95,-95,-95,0,0,0,0,16,5,53,0
600088,1998,-95,-95,-95,0,0,0,0,12,6,109,0
