股票代码,年度,CR_5指数,CR_10指数,Z指数,Herfindahl_5指数,Herfindahl_10指数
636,1998,0.586985,0.673059,3.287973344,0.113155952,0.114642543
637,1998,0.660271,0.680424,3.004946913,0.262411796,0.262496537
638,1998,0.444489,0.463222,93.71769079,0.183736951,0.183810634
639,1998,0.333605,0.344441,2.794676104,0.045158047,0.045181954
650,1998,0.737339,0.780573,177.7204696,0.528125378,0.528503423
651,1998,0.667475,0.705552,6,0.315225465,0.315526405
652,1998,0.47696,0.53618,26.68943551,0.179817332,0.180521092
653,1998,0.299025,0.318953,7.248427879,0.050864004,0.050946688
655,1998,0.675943,0.695871,7.862956927,0.264634894,0.264717577
656,1998,0.657305,0.682338,164.6800924,0.412124295,0.412255511
657,1998,0.493528,0.575363,5.259976274,0.109949812,0.111301789
658,1998,0.400078,0.419129,11.83506311,0.115517784,0.115599206
659,1998,0.614959,0.63401,23.83815707,0.324836362,0.324917783
660,1998,0.704212,0.713419,23.45824788,0.411487852,0.411505404
661,1998,0.604384,0.608952,45.82344012,0.32926023,0.329264434
662,1998,0.612248,0.656911,1.071430029,0.098081946,0.098496157
663,1998,0.650483,0.671602,3.48180157,0.17670181,0.176795285
665,1998,0.634542,0.65848,3.491052654,0.136463098,0.136582844
666,1998,0.92997,0.945643,1.282210059,0.433401279,0.433451257
667,1998,0.751306,0.758917,231.4021875,0.548350787,0.548362472
668,1998,0.676328,0.742489,4.309402563,0.28315532,0.284052944
669,1998,0.636939,0.645619,1.040281862,0.185178577,0.18519373
670,1998,0.499118,0.526063,2.261255461,0.082594924,0.082740433
671,1998,0.570332,0.583445,1.936488744,0.105008805,0.105043518
672,1998,0.587,0.616354,1.0875,0.128637,0.128822309
673,1998,0.713928,0.736259,291.3256294,0.498286142,0.49838647
675,1998,0.666618,0.683758,18.68234001,0.335830297,0.335889668
676,1998,0.762968,0.780108,22.23255581,0.447524106,0.447583477
677,1998,0.708332,0.720861,1.499694234,0.251144419,0.251176156
678,1998,0.439747,0.487085,13.62396963,0.143219775,0.14367391
679,1998,0.549355,0.560041,514.0951932,0.297524972,0.29754785
680,1998,0.363033,0.391054,65.99509989,0.122667376,0.122832203
681,1998,0.66867,0.722814,1.342422589,0.110334938,0.110928882
682,1998,0.390411,0.457913,8.89457116,0.105598692,0.106623125
683,1998,0.655774,0.664089,111.3612465,0.409232546,0.409246529
685,1998,0.4888,0.523094,7.684153394,0.155142105,0.155378902
686,1998,-97,-97,-97,-97,-97
687,1998,0.750144,0.761574,524.4465541,0.556167605,0.556194526
688,1998,0.512969,0.518936,1.006901349,0.075037865,0.075045109
689,1998,0.523365,0.533068,2.620000428,0.081621234,0.081640116
690,1998,0.75,0.759703,89.75,0.51578,0.515798882
691,1998,0.428038,0.443484,7.626296888,0.097604279,0.097656375
692,1998,0.640778,0.655334,106.0322855,0.389450399,0.389493206
693,1998,0.494517,0.508193,7.194280143,0.11698678,0.117024699
695,1998,0.57532,0.585129,60.43611264,0.299688919,0.299708277
697,1998,0.710515,0.730995,1.564102564,0.24165012,0.241734006
698,1998,0.590775,0.610339,2.465707722,0.146803675,0.146880739
699,1998,0.554412,0.613926,26.26470437,0.261106388,0.261829814
700,1998,0.742949,0.75143,309.0407734,0.540546389,0.540560781
701,1998,0.435136,0.448433,111.8421053,0.180652838,0.180688515
702,1998,0.63246,0.646585,135.9037952,0.379421194,0.379463975
703,1998,0.412843,0.426476,3.398456174,0.067080793,0.067119238
705,1998,0.307308,0.343015,13.37154696,0.05967283,0.059933795
707,1998,0.46834,0.489045,16.1535801,0.155580517,0.155667286
708,1998,0.619508,0.68118,32.52677817,0.334114259,0.334885191
709,1998,0.776774,0.835686,12.82506655,0.504681297,0.505395315
710,1998,0.714534,0.72721,222.6762025,0.501749444,0.501782085
711,1998,0.56872,0.580864,1.4,0.106901764,0.106931498
712,1998,0.756316,0.776324,3.723293435,0.370218488,0.370298852
713,1998,0.605449,0.651961,76.362482,0.340412693,0.340851686
715,1998,0.751028,0.779922,-97,0.276293529,0.276465409
716,1998,0.367694,0.405379,2.790710072,0.03580265,0.036089756
717,1998,0.758009,0.780225,155.9575795,0.56252679,0.56262935
718,1998,0.579072,0.619568,62.99683616,0.310963087,0.311306934
719,1998,0.686301,0.717763,185.9455595,0.45738897,0.457593196
720,1998,0.449242,0.470534,2.053004053,0.106482354,0.106575658
721,1998,0.56522,0.5771,3.935317047,0.111308525,0.111338436
722,1998,0.432618,0.449754,1.559672063,0.066349859,0.066410931
723,1998,0.530373,0.548215,31.70889453,0.238000077,0.238066214
727,1998,0.583057,0.60366,254.5512821,0.331553548,0.331640507
728,1998,-97,-97,-97,-97,-97
729,1998,0.772471,0.799764,21.50509223,0.467737492,0.467895684
730,1998,0.700627,0.747429,10.74335252,0.362875639,0.363328738
731,1998,0.614556,0.616728,17.34954685,0.285074483,0.285075438
732,1998,0.455429,0.473762,2.45025245,0.064585832,0.064653572
733,1998,0.605842,0.617238,279.5899348,0.36000938,0.360035648
735,1998,0.392966,0.407868,3.136228589,0.052129154,0.052174137
736,1998,0.462016,0.516166,1.83333,0.056718911,0.057344565
737,1998,0.61957,0.623649,5.049979048,0.253976843,0.253980244
738,1998,0.708805,0.719921,357.4905756,0.492471178,0.492496221
739,1998,0.545203,0.551892,40.36664326,0.268003421,0.268012577
748,1998,0.643659,0.653015,1.856805988,0.188556767,0.188574644
750,1998,0.460222,0.500508,25.72812823,0.179998766,0.180432744
751,1998,0.64372,0.656816,216.6539119,0.402164557,0.40219893
752,1998,0.630454,0.641254,1.500004094,0.194028544,0.194051896
753,1998,0.646027,0.65563,2.138311935,0.130939636,0.130958265
755,1998,0.673746,0.688807,9.907077917,0.343913516,0.343959444
756,1998,0.845741,0.896509,1.572050864,0.363775223,0.364307274
757,1998,0.637395,0.64049,7.592226291,0.28276961,0.282771608
758,1998,0.58053,0.600249,238.5924843,0.326551828,0.326630145
759,1998,0.314498,0.349172,2.927131182,0.043933278,0.044177113
760,1998,0.58184,0.676092,3.559691459,0.176569146,0.178362346
761,1998,0.575767,0.592213,48.41985892,0.294349964,0.294404843
762,1998,0.646644,0.656781,4.772757392,0.189488569,0.189509533
763,1998,0.838576,0.886941,323.7501943,0.694453006,0.694929661
765,1998,0.496002,0.5,12.70668267,0.148519919,0.14852338
766,1998,0.415972,0.419692,1.333156446,0.045462856,0.045465633
767,1998,0.741386,0.757866,1.323367986,0.266878673,0.266934435
768,1998,0.659488,0.673131,122.3405181,0.418730854,0.418773525
769,1998,0.583184,0.593904,65.43190797,0.317208284,0.317232907
776,1998,-97,-97,-97,-97,-97
777,1998,0.60819,-97,271.1251695,0.360016861,-97
778,1998,0.723571,0.733944,37.9265072,0.491476765,0.49149936
779,1998,0.513866,0.538171,101.1400363,0.252002856,0.252121686
780,1998,0.701321,0.740562,1.629329388,0.216608933,0.216922143
782,1998,0.491229,0.496226,5.3999487,0.10784498,0.107850223
783,1998,-97,-97,-97,-97,-97
785,1998,0.675985,0.722087,15.15645442,0.354010127,0.354489909
786,1998,0.673467,0.698091,196.5670225,0.439364656,0.439490501
787,1998,0.407963,0.458947,1.831690684,0.03951797,0.040059485
788,1998,0.557052,0.574533,18.08519194,0.237498907,0.237561453
789,1998,0.725058,0.76201,758.6365546,0.52160677,0.521888739
790,1998,0.742425,0.750088,1.873533549,0.181951731,0.181963715
791,1998,0.591564,0.61164,210.1092224,0.337533439,0.337614526
792,1998,0.735,0.752595,13,0.425425,0.425490847
793,1998,0.401764,0.443809,3.102033562,0.054264853,0.054620689
795,1998,0.676769,0.691592,2.24149383,0.238987255,0.239032651
796,1998,0.309654,0.317556,1.170382692,0.025531769,0.025544564
797,1998,0.731347,0.743272,132.8970344,0.520595751,0.520624483
798,1998,0.754239,0.76364,1.03030303,0.187546725,0.187565542
799,1998,0.714494,0.72217,118.002183,0.493838343,0.493850162
800,1998,0.684546,0.713424,41.17199504,0.441847191,0.442024493
801,1998,0.707734,0.748901,1.106154496,0.167784331,0.168124365
802,1998,0.72742,0.751931,178.2150699,0.510248807,0.51037017
803,1998,0.515198,0.520875,8.992078179,0.189865038,0.189871622
805,1998,0.529245,0.553905,1.709210778,0.10580097,0.1059267
806,1998,0.340633,0.354891,1.49999315,0.025751724,0.025792455
807,1998,0.750838,0.757593,160.0032349,0.550495355,0.550504509
809,1998,0.685781,0.715754,3.843238129,0.289044575,0.289241494
810,1998,0.618146,0.677532,78.43501781,0.353526676,0.354237032
811,1998,0.748068,0.760688,3.090159347,0.3503678,0.350400125
812,1998,0.3762,0.40787,2.925925926,0.04510764,0.045332828
813,1998,0.754919,0.80586,1.858275464,0.268450298,0.269011183
815,1998,0.561404,0.575296,7.142792001,0.197445018,0.197484942
816,1998,0.685832,0.704776,650.8406489,0.465238052,0.465313333
817,1998,0.821028,0.838096,663.5701541,0.669424218,0.669484462
818,1998,0.740025,0.742158,416.5971671,0.540663362,0.540664278
819,1998,0.727314,0.744515,1.425792652,0.252626213,0.252686755
820,1998,0.566519,0.583316,33.64588183,0.286287747,0.286344725
821,1998,0.594136,0.610422,5.765900163,0.229395477,0.229448873
822,1998,0.722904,0.734922,231.6102464,0.510224569,0.510255345
823,1998,0.690532,0.723931,248.880102,0.466404759,0.466633021
825,1998,0.619912,0.657518,62.47130254,0.362413088,0.362696706
826,1998,0.650448,0.66958,1.857480987,0.201503465,0.201577124
827,1998,0.6046,0.63904,1.374045802,0.13114516,0.131412595
