股票代码,年度,股票简称,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地,证券交易所,中小企业板标示,交易状态
'000017,2007,SST中华,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY (HOLDINGS) LIMITED,C75,252020,NA,SZ,0,1
'000017,2008,SST中华,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY (HOLDINGS) LIMITED,C75,252020,NA,SZ,0,1
'000017,2010,*ST中华A,深圳中华自行车(集团)股份有限公司,NA,C75,252020,NA,SZ,0,1
'000018,2002,深中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD.",C11,252030,中国深圳市龙岗区葵涌镇葵鹏路26号,SZ,0,0
'000018,2003,深中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD.",C11,252030,中国深圳市龙岗区葵涌镇葵鹏路26号,SZ,0,0
'000018,2004,深中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD.",C11,252030,中国深圳市龙岗区葵涌镇葵鹏路26号,SZ,0,0
'000018,2006,深中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD.",C11,252030,NA,SZ,0,0
'000018,2007,ST中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD.",C11,252030,NA,SZ,0,1
'000018,2008,*ST中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD.",C11,252030,NA,SZ,0,1
'000018,2009,*ST中冠A,深圳中冠纺织印染股份有限公司,NA,C11,252030,NA,SZ,0,1
'000018,2010,ST中冠A,深圳中冠纺织印染股份有限公司,NA,C11,252030,NA,SZ,0,1
'000019,2002,深深宝A,深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO., LTD.",C0,302020,中国深圳市罗湖区笋岗路1002号宝安广场B、C座28楼,SZ,0,0
'000019,2003,深深宝A,深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO., LTD.",C05,302010,中国深圳市罗湖区笋岗路1002号宝安广场B、C座28楼,SZ,0,0
'000019,2004,深深宝A,深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO., LTD.",C05,302010,中国深圳市罗湖区笋岗路1002号宝安广场B、C座28楼,SZ,0,0
'000019,2005,深深宝A,深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO., LTD.",C05,302010,中国深圳市罗湖区笋岗路1002号宝安广场B、C座28楼,SZ,0,0
'000019,2006,深深宝A,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO., LTD.",C05,302010,NA,SZ,0,0
'000019,2008,深深宝A,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO., LTD.",C05,302010,NA,SZ,0,0
'000019,2009,深深宝A,深圳市深宝实业股份有限公司,NA,C05,302010,NA,SZ,0,0
'000019,2010,深深宝A,深圳市深宝实业股份有限公司,NA,C05,302010,NA,SZ,0,0
'000020,2003,深华发A,深圳华发电子股份有限公司,"SHENZHEN HUAFA ELECTRONICS CO.,LTD.",C55,452030,广东省深圳市福田区华发北路411幢,SZ,0,0
'000020,2004,*ST华发A,深圳华发电子股份有限公司,"SHENZHEN HUAFA ELECTRONICS CO.,LTD.",C55,452030,广东省深圳市福田区华发北路411幢,SZ,0,1
'000020,2006,SST华发A,深圳华发电子股份有限公司,NA,C55,452030,NA,SZ,0,1
'000020,2007,ST华发A,深圳中恒华发股份有限公司,"Dongwha Pharm Ind Co., Ltd",C55,452030,NA,SZ,0,1
'000020,2008,ST华发A,深圳中恒华发股份有限公司,"Dongwha Pharm Ind Co., Ltd",C55,452030,NA,SZ,0,1
'000020,2009,深华发A,深圳中恒华发股份有限公司,NA,C55,452030,NA,SZ,0,0
'000020,2011,深华发A,深圳中恒华发股份有限公司,NA,C55,452030,NA,SZ,0,0
'000021,2002,深科技A,深圳开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD.",G83,452020,广东省深圳市福田区彩田路7006号,SZ,0,0
'000021,2003,深科技A,深圳开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD.",G83,452020,广东省深圳市福田区彩田路7006号,SZ,0,0
'000021,2004,深科技A,深圳开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD.",G83,452020,广东省深圳市福田区彩田路7006号,SZ,0,0
'000021,2005,深科技A,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD.",G83,452020,广东省深圳市福田区彩田路7006号,SZ,0,0
'000021,2006,长城开发,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD.",G83,452020,NA,SZ,0,0
'000021,2007,长城开发,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD.",G83,452020,NA,SZ,0,0
